"Pool","Master Vault Balance","Staked Balance","Pool Token Supply","Pool BNT Trading Liquidity","Pool Base Trading Liquidity","Pool Tokens Pending Withdrawals","Reserve Tokens Pending Withdrawals"
"GTC","15045.355556438000233643","15063.530090631123232770","15063.530090631123232770","0.000000000000000000","0.000000000000000000","315.151741117917500000","315.151741117917500000"
"1INCH","12992.417884033923662297","12984.940958797072610350","12984.940958797072610350","0.000000000000000000","0.000000000000000000","9072.837441750909000000","9072.837441750909000000"
"RLC","64519.327398757","64519.705132486","64519.705132486","0.000000000000000000","0.000000000",,
"TEMP","541767.178457945373098200","586859.885438070017594534","586711.580850326892988460","38457.654541247308361793","541767.178457945373098187","139271.123643923036000000","139305.579393850838000000"
"REN","481777.803468784139214542","566499.191636979907325294","566085.891865151587274689","120510.498642758000312746","469818.145778063246745485","390414.680454788180000000","390620.090434544484200000"
"COMP","416.243742809340818347","415.998478121862560072","415.998478121862560072","0.000000000000000000","0.000000000000000000","410.748340440206742000","410.748340440206742000"
"SFI","41.983295360073811733","41.991183364698885756","41.991183364698885756","0.000000000000000000","0.000000000000000000",,
"UNI","5467.899840950058755245","10371.446088266255866014","10366.338396167464403208","31290.104057361111754178","3107.155375662247125585","3923.272710573293740000","3924.506415655744830000"
"ZCN","1195998.5928578825","1248391.1091195257","1247968.1610378848","53040.429318089274701151","161177.9691435098","289662.5251092910","289738.9673221089"
"GRT","109914.987899639206637918","109744.115352842495796174","109744.115352842495796174","0.000000000000000000","0.000000000000000000","18302.343073517137000000","18302.343073517137000000"
"renBTC","0.34391223","0.34391245","0.34391245","0.000000000000000000","0.00000000","0.01780006","0.01780006"
"RARI","7538.865501638346031606","7541.720058423730250750","7541.720058423730250750","0.000000000000000000","0.000000000000000000",,
"INST","40479.805163717112123238","69183.724396184244033162","69183.724396184244033162","0.000000000000000000","0.000000000000000000",,
"ARCONA","1596588.794944955746513503","1606562.442358306752968852","1600850.681262440503421794","81669.680602565087692286","724211.368700414763130119",,
"eRSDL","1834205.723526177045150878","1834332.343227623983601738","1834332.343227623983601738","0.000000000000000000","0.000000000000000000","1451810.069529184620000000","1451810.069529184620000000"
"PLR","325250.648539714005420566","325282.993495684233882911","325282.993495684233882911","0.000000000000000000","0.000000000000000000",,
"LRC","24694.654815745253270009","24621.207735815653651158","24621.207735815653651158","0.000000000000000000","0.000000000000000000","16915.926743196313100000","16915.926743196313100000"
"KTN","1600.248810075205634781","1600.364174146224606645","1600.364174146224606645","0.000000000000000000","0.000000000000000000","1600.364174146224500000","1600.364174146224500000"
"DDX","81284.261920707582863936","85003.989809268548119761","84886.591108504727342559","24653.169677060677317533","16453.233335613171481711","71257.169073556468000000","71332.667931677204000000"
"MLN","451.006589821377462458","451.015778302346379362","451.015778302346379362","0.000000000000000000","0.000000000000000000","414.393846781394830000","414.393846781394830000"
"IDLE","385671.396763496141138341","385802.885953132518065895","385802.885953132518065895","0.000000000000000000","0.000000000000000000",,
"SATA","671475.326298773089667645","714169.112419516562316673","714003.833896943133699604","45487.346405180680091432","626137.296282208766614768","192700.655149136480000000","192739.323263680882000000"
"USDT","1679358.737835","2693891.694560","2693891.694560","0.000000000000000000","0.000000","2660869.462366","2660869.462366"
"OCEAN","672686.219630172214227660","672698.895744866021465614","673359.492678296801512224","0.000000000000000000","0.000000000000000000","129325.394031480224100000","129325.394031480224100000"
"BMI","16564.362818490302483866","16564.362818490302483877","16564.362818490302483877","0.000000000000000000","0.000000000000000000",,
"NDX","144.572504629111705240","144.580325976101520378","144.580325976101520378","0.000000000000000000","0.000000000000000000",,
"FXS","1500.663083953320433372","1500.663083953320433372","1500.663083953320433372","0.000000000000000000","0.000000000000000000","490.814981436962167000","490.814981436962167000"
"SHIBGF","99390437276095.944016449546207316","104083189559066.680302350384095027","104016090494643.980704475709050981","36542.364321232922740283","21715728571387.337728774093774174","13681701352236.732300000000000000","13690190531130.978800000000000000"
"DATA","130714.479535852378823546","153017.629146019639322267","153017.629146019639322267","0.000000000000000000","0.000000000000000000","39708.078112172500000000","39708.078112172500000000"
"WXT","221731.203314975550392475","221731.203314975550392475","221731.203314975550392475","0.000000000000000000","0.000000000000000000","125033.274638975550000000","125033.274638975550000000"
"APW","83365.794424729627454153","83365.825232283275669481","83365.825232283275669481","0.000000000000000000","0.000000000000000000","78516.866546575098000000","78516.866546575098000000"
"rETH","45.282279948530609672","49.295138038730500366","49.288640500909861292","25620.290376919703730670","11.267592664987803482","49.288640500909861000","49.294539684533112000"
"THALES","427053.979866745672182864","498341.843300340375163974","498289.912191089276065052","25246.411047800668792282","56191.943920661863794791","498289.912191089300000000","498336.524585467300000000"
"EWTB","6142.943661872047985458","6143.005102052110136219","6143.005102052110136219","0.000000000000000000","0.000000000000000000","6000.000000000000000000","6000.000000000000000000"
"RPL","6317.371561925739585872","9612.057681960216302040","9607.793150732455869675","54532.165117955359197843","2565.633316702410911787","4167.673481897155000000","4169.406791443199700000"
"wstETH","27.529991253981416219","27.529991253981416219","27.529991253981416219","0.000000000000000000","0.000000000000000000","6.017657924427268000","6.017657924427268000"
"xSUSHI","111.535514676308555012","111.535514676308555012","111.535514676308555012","0.000000000000000000","0.000000000000000000","111.535514676308560000","111.535514676308560000"
"DRC","10036754","10037494","10037494","0.000000000000000000","0","10037494","10037494"
"FARM","47.537868487093937201","47.538058402986467583","47.538058402986467583","0.000000000000000000","0.000000000000000000","5.784217153712790000","5.784217153712790000"
"DYDX","1290.850583106795505782","1290.850583106795505782","1290.850583106795505782","0.000000000000000000","0.000000000000000000","1077.454132142733000000","1077.454132142733000000"
"SHEESHA","5315.800380295707903268","5501.263338206681858583","5500.926425586154260347","26460.611437958938069680","573.665296449913519031",,
"UMA","37684.710387056934586443","40583.766607581987660866","40574.332262097847050990","29936.121777012249448983","5820.897725291882575268",,
"DAPP","44371397.2150","44371414.6895","44371414.6895","53947.299376810918432903","44371397.2149",,
"DAO","63691.797961136983465301","70444.862678281447225236","70439.735639403633245236","22740.061458268752128423","9281.416366025358605689",,
"MONA","161.024990796276671095","355.614387425336517444","354.620517699373814969","36321.062967663224505674","38.426017759464283233",,
"ENS","5641.893934906070739588","6051.344635361022629984","6050.617234841856304845","24728.975855631645739259","1362.665802895661172903",,
"RNB","690515.392263943266119478","686317.119786531595881010","686262.957708753262909561","39470.952119933625479446","313139.349981731602303515",,
"UOS","72564.7339","113958.8025","113906.1739","26792.038566274329083281","50685.9087",,
"VITA","20008.734385542225380356","20010.088043199696622112","20010.088043199696622112","0.000000000000000000","0.000000000000000000",,
"CEL","12888.7468","12893.7706","12893.7706","0.000000000000000000","0.0000",,
"ZRX","10949.887258979921636142","10949.887258979921636142","10949.887258979921636142","0.000000000000000000","0.000000000000000000",,
"VLX","66036.495368189156397792","66067.249608422504744853","66067.249608422504744853","0.000000000000000000","0.000000000000000000",,
"CRO","20000.00000000","20000.00000000","20000.00000000","0.000000000000000000","0.00000000",,
